_id,bicis_disponibles,direccion,fecha,huecos_libres,id_estacion
224,2,Jorge Comin (Metge) - Terrateig,03/12/2023 05:49:49,18,224
225,6,Padre Barranco - Carlos Ruano Llopis (Pintor),03/12/2023 05:49:49,14,225
226,10,Corts Valencianes - La Safor,03/12/2023 05:49:49,20,226
234,0,Plaza Músico Espí,03/12/2023 05:49:49,15,234
237,6,Levante U.D. - Ecuador,03/12/2023 05:49:49,9,237
238,6,San Jose Artesano - Francisco Morote Greus,03/12/2023 05:49:49,9,238
241,7,La Vall d'Albaida - Corts Valencianes,03/12/2023 05:49:49,8,241
244,14,Valle de la Ballestera - Pio Baroja,03/12/2023 05:49:49,6,244
246,6,Tres Cruces - Hospital General,03/12/2023 05:49:49,14,246
247,0,Tres Cruces - Músico Ayllón,03/12/2023 05:49:49,15,247
249,0,Tres Cruces - Segunda República Española,03/12/2023 05:49:49,15,249
250,3,Tres Cruces - Pio XI,03/12/2023 05:49:49,12,250
251,14,Arquitecto Segura del Lago - Camino Nuevo de Picaña,03/12/2023 05:49:49,1,251
252,12,Dels Gremis - Campos Crespo,03/12/2023 05:49:49,8,252
255,2,Tomas de Villarroya - San Vicente,03/12/2023 05:49:49,16,255
258,15,Pintor Rafael Solves - Jose Soto Mico,03/12/2023 05:49:49,0,258
267,10,Beniferri - Vicent Tomás Martí,03/12/2023 05:49:49,6,267
273,15,Moraira - Alta del Mar,03/12/2023 05:49:49,0,273
